Date,第1名,第2名,第3名,第4名,第5名,第6名,第7名,第8名,第9名,第10名
2022-01-24,精华制药,翠微股份,数字政通,陇神戎发,金财互联,神思电子,皇庭国际,海量数据,翰宇药业,新开普
2022-01-25,翠微股份,精华制药,新华联,海辰药业,皇庭国际,数字政通,金财互联,雄帝科技,神思电子,新开普
2022-01-26,翠微股份,海辰药业,新华联,金财互联,皇庭国际,吉翔股份,海量数据,精华制药,雄帝科技,神思电子
2022-01-27,海辰药业,翠微股份,新华联,吉翔股份,皇庭国际,海量数据,金财互联,京蓝科技,精华制药,宝兰德
2022-01-28,翠微股份,海辰药业,京蓝科技,吉翔股份,新华联,海量数据,深南股份,金财互联,雄帝科技,神思电子
2022-02-07,雅本化学,翠微股份,海辰药业,吉翔股份,金财互联,雄帝科技,岱勒新材,京蓝科技,深南股份,神思电子
2022-02-08,雅本化学,翠微股份,海辰药业,雄帝科技,金财互联,吉翔股份,岱勒新材,新华联,保利联合,宏润建设
2022-02-09,雅本化学,翠微股份,海辰药业,雄帝科技,金财互联,吉翔股份,新华联,保利联合,恒宝股份,岱勒新材
2022-02-10,雅本化学,翠微股份,海辰药业,金财互联,雄帝科技,吉翔股份,保利联合,恒宝股份,新华联,证通电子
2022-02-11,雅本化学,海辰药业,金财互联,翠微股份,保利联合,恒宝股份,京蓝科技,吉翔股份,雄帝科技,曲江文旅
2022-02-14,雅本化学,海辰药业,金财互联,保利联合,翠微股份,恒宝股份,曲江文旅,冀东装备,浙江建投,京蓝科技
2022-02-15,雅本化学,金财互联,保利联合,恒宝股份,海辰药业,翠微股份,浙江建投,雄帝科技,曲江文旅,冀东装备
2022-02-16,雅本化学,保利联合,恒宝股份,金财互联,浙江建投,雄帝科技,翠微股份,曲江文旅,海辰药业,美吉姆
2022-02-17,雅本化学,浙江建投,保利联合,恒宝股份,金财互联,杭州园林,雄帝科技,京蓝科技,翠微股份,美吉姆
2022-02-18,浙江建投,雅本化学,杭州园林,恒宝股份,保利联合,翠微股份,雄帝科技,京蓝科技,天鹅股份,金财互联
2022-02-21,浙江建投,雅本化学,恒宝股份,保利联合,杭州园林,天鹅股份,诚邦股份,宁波建工,翠微股份,依米康
2022-02-22,恒宝股份,保利联合,杭州园林,依米康,诚邦股份,雅本化学,海辰药业,美吉姆,宁波建工,证通电子
2022-02-23,海辰药业,依米康,恒宝股份,美吉姆,保利联合,杭州园林,宁波建工,诚邦股份,天鹅股份,鞍重股份
2022-02-24,依米康,宁波建工,保利联合,美吉姆,海辰药业,恒宝股份,杭州园林,佳力图,浙农股份,天鹅股份
2022-02-25,依米康,海辰药业,雅本化学,宁波建工,杭州园林,佳力图,恒宝股份,美吉姆,直真科技,黑牡丹
